,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,legendary_sum
169,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,38,5120,71,330,190,Angler PokÃ©mon,38,1250000,0.5,75,Chonchieãƒãƒ§ãƒ³ãƒãƒ¼,Chinchou,50.0,170,56,56,67,water,electric,12.0,2,0,0.28258327686638596
170,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,58,5120,71,460,75,Light PokÃ©mon,58,1250000,1.2,125,Lanternãƒ©ãƒ³ã‚¿ãƒ¼ãƒ³,Lanturn,50.0,171,76,76,67,water,electric,22.5,2,0,0.28258327686638596
171,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,2560,71,205,190,Tiny Mouse PokÃ©mon,15,1000000,0.3,20,Pichuãƒ”ãƒãƒ¥ãƒ¼,Pichu,50.0,172,35,35,60,electric,,2.0,2,0,0.28258327686638596
172,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,25,2560,141,218,150,Star Shape PokÃ©mon,28,800000,0.3,50,Pyãƒ”ã‚£,Cleffa,24.6,173,45,55,15,fairy,,3.0,2,0,0.28258327686638596
173,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,30,2560,71,210,170,Balloon PokÃ©mon,15,800000,0.3,90,Pupurinãƒ—ãƒ—ãƒªãƒ³,Igglybuff,24.6,174,40,20,15,normal,fairy,1.0,2,0,0.28258327686638596
174,"['Hustle', 'Serene Grace', 'Super Luck']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,20,2560,71,245,190,Spike Ball PokÃ©mon,65,800000,0.3,35,Togepyãƒˆã‚²ãƒ”ãƒ¼,Togepi,88.1,175,40,65,20,fairy,,1.5,2,0,0.28258327686638596
175,"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,40,2560,71,405,75,Happiness PokÃ©mon,85,800000,0.6,55,Togechickãƒˆã‚²ãƒãƒƒã‚¯,Togetic,88.1,176,80,105,40,fairy,flying,3.2,2,0,0.28258327686638596
176,"['Synchronize', 'Early Bird', 'Magic Bounce']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,50,5120,71,320,190,Little Bird PokÃ©mon,45,1000000,0.2,40,Natyãƒã‚¤ãƒ†ã‚£,Natu,50.0,177,70,45,70,psychic,flying,2.0,2,0,0.28258327686638596
177,"['Synchronize', 'Early Bird', 'Magic Bounce']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,75,5120,71,470,75,Mystic PokÃ©mon,70,1000000,1.5,65,Natioãƒã‚¤ãƒ†ã‚£ã‚ª,Xatu,50.0,178,95,70,95,psychic,flying,15.0,2,0,0.28258327686638596
178,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,40,5120,71,280,235,Wool PokÃ©mon,40,1059860,0.6,55,Merriepãƒ¡ãƒªãƒ¼ãƒ—,Mareep,50.0,179,65,45,35,electric,,7.8,2,0,0.28258327686638596
179,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,5120,71,365,120,Wool PokÃ©mon,55,1059860,0.8,70,Mokokoãƒ¢ã‚³ã‚³,Flaaffy,50.0,180,80,60,45,electric,,13.3,2,0,0.28258327686638596
180,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,95,5120,71,610,45,Light PokÃ©mon,105,1059860,1.4,90,Denryuãƒ‡ãƒ³ãƒªãƒ¥ã‚¦,Ampharos,50.0,181,165,110,45,electric,,61.5,2,0,0.28258327686638596
181,"['Chlorophyll', 'Healer']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,80,5120,71,490,45,Flower PokÃ©mon,95,1059860,0.4,75,Kireihanaã‚­ãƒ¬ã‚¤ãƒãƒŠ,Bellossom,50.0,182,90,100,50,grass,,5.8,2,0,0.28258327686638596
182,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,20,2560,71,250,190,Aquamouse PokÃ©mon,50,800000,0.4,70,Marilãƒžãƒªãƒ«,Marill,50.0,183,20,50,40,water,fairy,8.5,2,0,0.28258327686638596
183,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,50,2560,71,420,75,Aquarabbit PokÃ©mon,80,800000,0.8,100,Marilliãƒžãƒªãƒ«ãƒª,Azumarill,50.0,184,60,80,50,water,fairy,28.5,2,0,0.28258327686638596
184,"['Sturdy', 'Rock Head', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,100,5120,71,410,65,Imitation PokÃ©mon,115,1000000,1.2,70,Usokkieã‚¦ã‚½ãƒƒã‚­ãƒ¼,Sudowoodo,50.0,185,30,65,30,rock,,38.0,2,0,0.28258327686638596
185,"['Water Absorb', 'Damp', 'Drizzle']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75,5120,71,500,45,Frog PokÃ©mon,75,1059860,1.1,90,Nyorotonoãƒ‹ãƒ§ãƒ­ãƒˆãƒŽ,Politoed,50.0,186,90,100,70,water,,33.9,2,0,0.28258327686638596
186,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,35,5120,71,250,255,Cottonweed PokÃ©mon,40,1059860,0.4,35,Haneccoãƒãƒãƒƒã‚³,Hoppip,50.0,187,35,55,50,grass,flying,0.5,2,0,0.28258327686638596
187,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,45,5120,71,340,120,Cottonweed PokÃ©mon,50,1059860,0.6,55,Popoccoãƒãƒãƒƒã‚³,Skiploom,50.0,188,45,65,80,grass,flying,1.0,2,0,0.28258327686638596
188,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,55,5120,71,460,45,Cottonweed PokÃ©mon,70,1059860,0.8,75,Wataccoãƒ¯ã‚¿ãƒƒã‚³,Jumpluff,50.0,189,55,95,110,grass,flying,3.0,2,0,0.28258327686638596
189,"['Run Away', 'Pickup', 'Skill Link']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,5120,71,360,45,Long Tail PokÃ©mon,55,800000,0.8,55,Eipamã‚¨ã‚¤ãƒ‘ãƒ ,Aipom,50.0,190,40,55,85,normal,,11.5,2,0,0.28258327686638596
190,"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,30,5120,71,180,235,Seed PokÃ©mon,30,1059860,0.3,30,Himanutsãƒ’ãƒžãƒŠãƒƒãƒ„,Sunkern,50.0,191,30,30,30,grass,,1.8,2,0,0.28258327686638596
191,"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,75,5120,71,425,120,Sun PokÃ©mon,55,1059860,0.8,75,Kimawariã‚­ãƒžãƒ¯ãƒª,Sunflora,50.0,192,105,85,30,grass,,8.5,2,0,0.28258327686638596
192,"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,65,5120,71,390,75,Clear Wing PokÃ©mon,45,1000000,1.2,65,Yanyanmaãƒ¤ãƒ³ãƒ¤ãƒ³ãƒž,Yanma,50.0,193,75,45,95,bug,flying,38.0,2,0,0.28258327686638596
193,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,45,5120,71,210,255,Water Fish PokÃ©mon,45,1000000,0.4,55,Upahã‚¦ãƒ‘ãƒ¼,Wooper,50.0,194,25,25,15,water,ground,8.5,2,0,0.28258327686638596
194,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,85,5120,71,430,90,Water Fish PokÃ©mon,85,1000000,1.4,95,NuohãƒŒã‚ªãƒ¼,Quagsire,50.0,195,65,65,35,water,ground,75.0,2,0,0.28258327686638596
195,"['Synchronize', 'Magic Bounce']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,65,8960,71,525,45,Sun PokÃ©mon,60,1000000,0.9,65,Eifieã‚¨ãƒ¼ãƒ•ã‚£,Espeon,88.1,196,130,95,110,psychic,,26.5,2,0,0.28258327686638596
196,"['Synchronize', 'Inner Focus']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,65,8960,36,525,45,Moonlight PokÃ©mon,110,1000000,1.0,95,Blackyãƒ–ãƒ©ãƒƒã‚­ãƒ¼,Umbreon,88.1,197,60,130,65,dark,,27.0,2,0,0.28258327686638596
197,"['Insomnia', 'Super Luck', 'Prankster']",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,85,5120,36,405,30,Darkness PokÃ©mon,42,1059860,0.5,60,Yamikarasuãƒ¤ãƒŸã‚«ãƒ©ã‚¹,Murkrow,50.0,198,85,42,91,dark,flying,2.1,2,0,0.28258327686638596
198,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75,5120,71,490,70,Royal PokÃ©mon,80,1000000,2.0,95,Yadokingãƒ¤ãƒ‰ã‚­ãƒ³ã‚°,Slowking,50.0,199,100,110,30,water,psychic,79.5,2,0,0.28258327686638596
199,['Levitate'],0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,60,6400,36,435,45,Screech PokÃ©mon,60,800000,0.7,60,Mumaãƒ ã‚¦ãƒž,Misdreavus,50.0,200,85,85,85,ghost,,1.0,2,0,0.28258327686638596
200,['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,72,10240,71,336,225,Symbol PokÃ©mon,48,1000000,0.5,48,Unknownã‚¢ãƒ³ãƒŽãƒ¼ãƒ³,Unown,,201,72,48,48,psychic,,5.0,2,0,0.28258327686638596
201,"['Shadow Tag', 'Telepathy']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,33,5120,71,405,45,Patient PokÃ©mon,58,1000000,1.3,190,Sonansã‚½ãƒ¼ãƒŠãƒ³ã‚¹,Wobbuffet,50.0,202,33,58,33,psychic,,28.5,2,0,0.28258327686638596
202,"['Inner Focus', 'Early Bird', 'Sap Sipper']",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,80,5120,71,455,60,Long Neck PokÃ©mon,65,1000000,1.5,70,Kirinrikiã‚­ãƒªãƒ³ãƒªã‚­,Girafarig,50.0,203,90,65,85,normal,psychic,41.5,2,0,0.28258327686638596
203,"['Sturdy', 'Overcoat']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,65,5120,71,290,190,Bagworm PokÃ©mon,90,1000000,0.6,50,Kunugidamaã‚¯ãƒŒã‚®ãƒ€ãƒž,Pineco,50.0,204,35,35,15,bug,,7.2,2,0,0.28258327686638596
204,"['Sturdy', 'Overcoat']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,90,5120,71,465,75,Bagworm PokÃ©mon,140,1000000,1.2,75,Foretosãƒ•ã‚©ãƒ¬ãƒˆã‚¹,Forretress,50.0,205,60,60,40,bug,steel,125.8,2,0,0.28258327686638596
205,"['Serene Grace', 'Run Away', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70,5120,71,415,190,Land Snake PokÃ©mon,70,1000000,1.5,100,NokocchiãƒŽã‚³ãƒƒãƒ,Dunsparce,50.0,206,65,65,45,normal,,14.0,2,0,0.28258327686638596
206,"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,75,5120,71,430,60,Flyscorpion PokÃ©mon,105,1059860,1.1,65,Gligerã‚°ãƒ©ã‚¤ã‚¬ãƒ¼,Gligar,50.0,207,35,65,85,ground,flying,64.8,2,0,0.28258327686638596
207,"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,125,6400,71,610,25,Iron Snake PokÃ©mon,230,1000000,9.2,75,Haganeilãƒã‚¬ãƒãƒ¼ãƒ«,Steelix,50.0,208,55,95,30,steel,ground,400.0,2,0,0.28258327686638596
208,"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,80,5120,71,300,190,Fairy PokÃ©mon,50,800000,0.6,60,Buluãƒ–ãƒ«ãƒ¼,Snubbull,24.6,209,40,40,30,fairy,,7.8,2,0,0.28258327686638596
209,"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,120,5120,71,450,75,Fairy PokÃ©mon,75,800000,1.4,90,Granbuluã‚°ãƒ©ãƒ³ãƒ–ãƒ«,Granbull,24.6,210,60,60,45,fairy,,48.7,2,0,0.28258327686638596
210,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,95,5120,71,440,45,Balloon PokÃ©mon,85,1000000,0.5,65,Harysenãƒãƒªãƒ¼ã‚»ãƒ³,Qwilfish,50.0,211,55,55,85,water,poison,3.9,2,0,0.28258327686638596
211,"['Swarm', 'Technician', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,150,6400,71,600,25,Pincer PokÃ©mon,140,1000000,1.8,70,Hassamãƒãƒƒã‚µãƒ ,Scizor,50.0,212,65,100,75,bug,steel,118.0,2,0,0.28258327686638596
212,"['Sturdy', 'Gluttony', 'Contrary']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,10,5120,71,505,190,Mold PokÃ©mon,230,1059860,0.6,20,Tsubotsuboãƒ„ãƒœãƒ„ãƒœ,Shuckle,50.0,213,10,230,5,bug,rock,20.5,2,0,0.28258327686638596
213,"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,185,6400,71,600,45,Singlehorn PokÃ©mon,115,1250000,1.5,80,Heracrosãƒ˜ãƒ©ã‚¯ãƒ­ã‚¹,Heracross,50.0,214,40,105,75,bug,fighting,54.0,2,0,0.28258327686638596
214,"['Inner Focus', 'Keen Eye', 'Pickpocket']",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,95,5120,36,430,60,Sharp Claw PokÃ©mon,55,1059860,0.9,55,Nyulaãƒ‹ãƒ¥ãƒ¼ãƒ©,Sneasel,50.0,215,35,75,115,dark,ice,28.0,2,0,0.28258327686638596
215,"['Pickup', 'Quick Feet', 'Honey Gather']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,71,330,120,Little Bear PokÃ©mon,50,1000000,0.6,60,Himegumaãƒ’ãƒ¡ã‚°ãƒž,Teddiursa,50.0,216,50,50,40,normal,,8.8,2,0,0.28258327686638596
216,"['Guts', 'Quick Feet', 'Unnerve']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130,5120,71,500,60,Hibernator PokÃ©mon,75,1000000,1.8,90,Ringumaãƒªãƒ³ã‚°ãƒž,Ursaring,50.0,217,75,75,55,normal,,125.8,2,0,0.28258327686638596
217,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,40,5120,71,250,190,Lava PokÃ©mon,40,1000000,0.7,40,Magmagãƒžã‚°ãƒžãƒƒã‚°,Slugma,50.0,218,70,40,20,fire,,35.0,2,0,0.28258327686638596
218,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,50,5120,71,430,75,Lava PokÃ©mon,120,1000000,0.8,60,Magcargotãƒžã‚°ã‚«ãƒ«ã‚´,Magcargo,50.0,219,90,80,30,fire,rock,55.0,2,0,0.28258327686638596
219,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,50,5120,71,250,225,Pig PokÃ©mon,40,1250000,0.4,50,Urimooã‚¦ãƒªãƒ ãƒ¼,Swinub,50.0,220,30,30,50,ice,ground,6.5,2,0,0.28258327686638596
220,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,100,5120,71,450,75,Swine PokÃ©mon,80,1250000,1.1,100,Inomooã‚¤ãƒŽãƒ ãƒ¼,Piloswine,50.0,221,60,60,50,ice,ground,55.8,2,0,0.28258327686638596
221,"['Hustle', 'Natural Cure', 'Regenerator']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,55,5120,71,410,60,Coral PokÃ©mon,95,800000,0.6,65,Sunnygoã‚µãƒ‹ãƒ¼ã‚´,Corsola,24.6,222,65,95,35,water,rock,5.0,2,0,0.28258327686638596
222,"['Hustle', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65,5120,71,300,190,Jet PokÃ©mon,35,1000000,0.6,35,Teppouoãƒ†ãƒƒãƒã‚¦ã‚ª,Remoraid,50.0,223,65,35,65,water,,12.0,2,0,0.28258327686638596
223,"['Suction Cups', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105,5120,71,480,75,Jet PokÃ©mon,75,1000000,0.9,75,Okutankã‚ªã‚¯ã‚¿ãƒ³,Octillery,50.0,224,105,75,45,water,,28.5,2,0,0.28258327686638596
224,"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,55,5120,71,330,45,Delivery PokÃ©mon,45,800000,0.9,45,Delibirdãƒ‡ãƒªãƒãƒ¼ãƒ‰,Delibird,50.0,225,65,45,75,ice,flying,16.0,2,0,0.28258327686638596
225,"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,40,6400,71,485,25,Kite PokÃ©mon,70,1250000,2.1,85,Mantainãƒžãƒ³ã‚¿ã‚¤ãƒ³,Mantine,50.0,226,80,140,70,water,flying,220.0,2,0,0.28258327686638596
226,"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,80,6400,71,465,25,Armor Bird PokÃ©mon,140,1250000,1.7,65,Airmdã‚¨ã‚¢ãƒ¼ãƒ ãƒ‰,Skarmory,50.0,227,40,70,70,steel,flying,50.5,2,0,0.28258327686638596
227,"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,60,5120,36,330,120,Dark PokÃ©mon,30,1250000,0.6,45,Delvilãƒ‡ãƒ«ãƒ“ãƒ«,Houndour,50.0,228,80,50,65,dark,fire,10.8,2,0,0.28258327686638596
228,"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,90,5120,36,600,45,Dark PokÃ©mon,90,1250000,1.4,75,Hellgarãƒ˜ãƒ«ã‚¬ãƒ¼,Houndoom,50.0,229,140,90,115,dark,fire,35.0,2,0,0.28258327686638596
229,"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,95,5120,71,540,45,Dragon PokÃ©mon,95,1000000,1.8,75,Kingdraã‚­ãƒ³ã‚°ãƒ‰ãƒ©,Kingdra,50.0,230,95,95,85,water,dragon,152.0,2,0,0.28258327686638596
230,"['Pickup', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,60,5120,71,330,120,Long Nose PokÃ©mon,60,1000000,0.5,90,Gomazouã‚´ãƒžã‚¾ã‚¦,Phanpy,50.0,231,40,40,40,ground,,33.5,2,0,0.28258327686638596
231,"['Sturdy', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,120,5120,71,500,60,Armor PokÃ©mon,120,1000000,1.1,90,Donfanãƒ‰ãƒ³ãƒ•ã‚¡ãƒ³,Donphan,50.0,232,60,60,50,ground,,120.0,2,0,0.28258327686638596
232,"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80,5120,71,515,45,Virtual PokÃ©mon,90,1000000,0.6,85,Porygon2ãƒãƒªã‚´ãƒ³ï¼’,Porygon2,,233,105,95,60,normal,,32.5,2,0,0.28258327686638596
233,"['Intimidate', 'Frisk', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95,5120,71,465,45,Big Horn PokÃ©mon,62,1250000,1.4,73,Odoshishiã‚ªãƒ‰ã‚·ã‚·,Stantler,50.0,234,85,65,85,normal,,71.2,2,0,0.28258327686638596
234,"['Own Tempo', 'Technician', 'Moody']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,5120,71,250,45,Painter PokÃ©mon,35,800000,1.2,55,Dobleãƒ‰ãƒ¼ãƒ–ãƒ«,Smeargle,50.0,235,20,45,75,normal,,58.0,2,0,0.28258327686638596
235,"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,35,6400,71,210,75,Scuffle PokÃ©mon,35,1000000,0.7,35,Balkieãƒãƒ«ã‚­ãƒ¼,Tyrogue,100.0,236,35,35,35,fighting,,21.0,2,0,0.28258327686638596
236,"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,95,6400,71,455,45,Handstand PokÃ©mon,95,1000000,1.4,50,Kapoererã‚«ãƒã‚¨ãƒ©ãƒ¼,Hitmontop,100.0,237,35,110,70,fighting,,48.0,2,0,0.28258327686638596
